fabian	remolina	carnes	durham_lifspan	durham_fecundityw1	durham_fecundityw3	durham_fecundityw5	durham_fecundityw7	durham_fecundityLifetime	huang_DGRP	huang_AIP	ours_HS_C_1kb	ours_HS_1kb	ours_C_1kb	hoedjes_lifespan	hoedjes_diet	hoedjes_diet_lifespan	genAge_dmel
FBgn0051812	FBgn0051220	FBgn0040900	NA	NA	NA	FBgn0003380	FBgn0263257	NA	FBgn0265595	FBgn0034327	FBgn0031814	FBgn0036750	NA	NA	NA	FBgn0038880	FBgn0001128
FBgn0051915	FBgn0051221	FBgn0028394	NA	NA	NA	NA	FBgn0027556	NA	FBgn0266354	FBgn0039647	FBgn0031824	FBgn0037073	NA	NA	NA	FBgn0040106	FBgn0262419
FBgn0052066	FBgn0051226	FBgn0030163	NA	NA	NA	NA	FBgn0260748	NA	FBgn0266417	FBgn0037123	FBgn0031826	FBgn0037203	NA	NA	NA	FBgn0041249	FBgn0262456
FBgn0052238	FBgn0051244	FBgn0023550	NA	NA	NA	NA	FBgn0026058	NA	FBgn0266489	FBgn0037122	FBgn0031856	FBgn0037312	NA	NA	NA	FBgn0041250	FBgn0262447
FBgn0052264	FBgn0051245	FBgn0030360	NA	NA	NA	NA	FBgn0030913	NA	FBgn0266696	FBgn0037487	FBgn0031857	FBgn0037313	NA	NA	NA	FBgn0045501	FBgn0262459
FBgn0052354	FBgn0051404	FBgn0028901	NA	NA	NA	NA	FBgn0264090	NA	FBgn0266801	FBgn0037326	FBgn0031866	FBgn0037409	NA	NA	NA	FBgn0046113	FBgn0026479
FBgn0052364	FBgn0051459	FBgn0035239	NA	NA	NA	NA	FBgn0030979	NA	FBgn0032166	FBgn0037988	FBgn0031999	FBgn0037531	NA	NA	NA	FBgn0050196	FBti0112407
FBgn0052365	FBgn0051475	FBgn0035262	NA	NA	NA	NA	FBgn0085359	NA	FBgn0035587	FBgn0037989	FBgn0032008	FBgn0037541	NA	NA	NA	FBgn0050259	FBcl0462811
FBgn0052369	FBgn0028893	FBgn0035265	NA	NA	NA	NA	FBgn0030981	NA	FBgn0030803	FBgn0035734	FBgn0032010	FBgn0037543	NA	NA	NA	FBgn0051183	FBgn0023517
FBgn0052373	FBgn0051820	FBgn0038653	NA	NA	NA	NA	FBgn0030982	NA	FBgn0036576	FBgn0035755	FBgn0032136	FBgn0037544	NA	NA	NA	FBgn0051191	FBcl0461362
FBgn0052506	FBgn0051821	FBgn0038470	NA	NA	NA	NA	FBgn0261811	NA	FBgn0032677	FBgn0035797	FBgn0032151	FBgn0037546	NA	NA	NA	FBgn0051475	FBgn0261119
FBgn0052507	FBgn0052022	FBgn0031869	NA	NA	NA	NA	FBgn0031139	NA	FBgn0032167	FBgn0038238	FBgn0032231	FBgn0037689	NA	NA	NA	FBgn0051658	FBgn0029783
FBgn0052532	FBgn0052023	FBgn0028900	NA	NA	NA	NA	FBgn0085387	NA	FBgn0038679	FBgn0038260	FBgn0032271	FBgn0038286	NA	NA	NA	FBgn0051663	FBgn0262406
FBgn0052533	FBgn0052024	FBgn0031469	NA	NA	NA	NA	FBgn0263830	NA	FBgn0039420	FBgn0038273	FBgn0032280	FBgn0038339	NA	NA	NA	FBgn0051665	FBgn0262391
FBgn0052536	FBgn0052026	FBgn0035642	NA	NA	NA	NA	NA	NA	FBgn0027581	FBgn0035482	FBgn0032287	FBgn0038405	NA	NA	NA	FBgn0051921	FBgn0036775
FBgn0052537	FBgn0043806	FBgn0032551	NA	NA	NA	NA	NA	NA	FBgn0038072	FBgn0035495	FBgn0032296	FBgn0038455	NA	NA	NA	FBgn0051922	FBgn0000659
FBgn0052544	FBgn0052036	FBgn0042185	NA	NA	NA	NA	NA	NA	FBgn0038720	FBgn0035497	FBgn0032321	FBgn0038532	NA	NA	NA	FBgn0051926	NA
FBgn0052547	FBgn0052037	FBgn0035290	NA	NA	NA	NA	NA	NA	FBgn0036731	FBgn0035543	FBgn0032322	FBgn0038581	NA	NA	NA	FBgn0051935	NA
FBgn0052548	FBgn0052039	FBgn0030164	NA	NA	NA	NA	NA	NA	FBgn0031920	FBgn0035547	FBgn0032364	FBgn0038658	NA	NA	NA	FBgn0052206	NA
FBgn0052563	FBgn0052040	FBgn0015359	NA	NA	NA	NA	NA	NA	FBgn0036085	FBgn0035548	FBgn0032603	FBgn0038679	NA	NA	NA	FBgn0052441	NA
FBgn0052564	FBgn0044328	FBgn0035213	NA	NA	NA	NA	NA	NA	FBgn0032420	FBgn0030928	FBgn0032629	FBgn0038723	NA	NA	NA	FBgn0052654	NA
FBgn0052582	FBgn0052137	FBgn0039767	NA	NA	NA	NA	NA	NA	FBgn0033889	FBgn0034379	FBgn0032645	FBgn0038755	NA	NA	NA	FBgn0053126	NA
FBgn0052709	FBgn0052138	FBgn0029990	NA	NA	NA	NA	NA	NA	FBgn0032395	FBgn0034380	FBgn0032646	FBgn0038880	NA	NA	NA	FBgn0053128	NA
FBgn0052791	FBgn0052141	FBgn0039790	NA	NA	NA	NA	NA	NA	FBgn0035896	FBgn0034416	FBgn0032693	FBgn0038918	NA	NA	NA	FBgn0053516	NA
FBgn0053003	FBgn0036014	FBgn0030320	NA	NA	NA	NA	NA	NA	FBgn0035888	FBgn0032647	FBgn0032694	FBgn0038919	NA	NA	NA	FBgn0053526	NA
FBgn0053096	FBgn0052262	FBgn0039792	NA	NA	NA	NA	NA	NA	FBgn0038575	FBgn0032649	FBgn0032717	FBgn0038944	NA	NA	NA	FBgn0086130	NA
FBgn0053158	FBgn0052263	FBgn0035204	NA	NA	NA	NA	NA	NA	FBgn0031976	FBgn0032692	FBgn0032772	FBgn0039064	NA	NA	NA	FBgn0086613	NA
FBgn0053172	FBgn0052264	FBgn0030396	NA	NA	NA	NA	NA	NA	FBgn0027525	FBgn0030296	FBgn0032773	FBgn0039136	NA	NA	NA	FBgn0086758	NA
FBgn0053203	FBgn0052266	FBgn0025838	NA	NA	NA	NA	NA	NA	FBgn0033635	FBgn0030331	FBgn0032779	FBgn0039137	NA	NA	NA	FBgn0086855	NA
FBgn0029750	FBgn0052267	FBgn0024998	NA	NA	NA	NA	NA	NA	FBgn0035253	FBgn0028948	FBgn0032780	FBgn0039387	NA	NA	NA	FBgn0243516	NA
FBgn0053252	FBgn0052269	FBgn0024973	NA	NA	NA	NA	NA	NA	FBgn0035260	FBgn0030183	FBgn0032782	FBgn0039503	NA	NA	NA	FBgn0250820	NA
FBgn0030992	FBgn0052270	FBgn0030376	NA	NA	NA	NA	NA	NA	FBgn0036410	FBgn0030174	FBgn0032783	FBgn0039504	NA	NA	NA	FBgn0259229	NA
FBgn0035802	FBgn0052271	FBgn0040391	NA	NA	NA	NA	NA	NA	FBgn0034141	FBgn0030889	FBgn0032940	FBgn0039530	NA	NA	NA	FBgn0259244	NA
FBgn0053278	FBgn0047135	FBgn0023526	NA	NA	NA	NA	NA	NA	FBgn0037720	FBgn0031397	FBgn0032986	FBgn0039554	NA	NA	NA	FBgn0259680	NA
FBgn0053310	FBgn0052277	FBgn0023529	NA	NA	NA	NA	NA	NA	FBgn0033919	FBgn0250835	FBgn0033159	FBgn0039647	NA	NA	NA	FBgn0260003	NA
FBgn0053346	FBgn0052278	FBgn0023528	NA	NA	NA	NA	NA	NA	FBgn0035781	FBgn0031440	FBgn0033212	FBgn0039674	NA	NA	NA	FBgn0260767	NA
FBgn0031598	FBgn0052280	FBgn0028491	NA	NA	NA	NA	NA	NA	FBgn0035776	FBgn0031542	FBgn0033250	FBgn0039681	NA	NA	NA	FBgn0260933	NA
FBgn0039510	FBgn0052281	FBgn0031468	NA	NA	NA	NA	NA	NA	FBgn0033763	FBgn0031554	FBgn0033275	FBgn0039806	NA	NA	NA	FBgn0261046	NA
FBgn0053459	FBgn0052284	FBgn0031474	NA	NA	NA	NA	NA	NA	FBgn0031988	FBgn0031596	FBgn0033285	FBgn0039828	NA	NA	NA	FBgn0261113	NA
FBgn0053696	FBgn0052313	FBgn0050015	NA	NA	NA	NA	NA	NA	FBgn0033760	FBgn0031603	FBgn0033286	FBgn0039829	NA	NA	NA	FBgn0261262	NA
FBgn0053970	FBgn0052318	FBgn0050046	NA	NA	NA	NA	NA	NA	FBgn0030706	FBgn0029746	FBgn0033289	FBgn0039830	NA	NA	NA	FBgn0261285	NA
FBgn0085197	FBgn0052319	FBgn0050076	NA	NA	NA	NA	NA	NA	FBgn0035336	FBgn0032457	FBgn0033359	FBgn0040068	NA	NA	NA	FBgn0261458	NA
FBgn0085324	FBgn0052320	FBgn0050089	NA	NA	NA	NA	NA	NA	FBgn0033638	FBgn0032442	FBgn0033362	FBgn0040153	NA	NA	NA	FBgn0261938	NA
FBgn0085342	FBgn0052333	FBgn0050096	NA	NA	NA	NA	NA	NA	FBgn0030809	FBgn0039686	FBgn0033402	FBgn0040353	NA	NA	NA	FBgn0262148	NA
FBgn0085349	FBgn0063667	FBgn0050098	NA	NA	NA	NA	NA	NA	FBgn0030624	FBgn0031627	FBgn0033438	FBgn0040765	NA	NA	NA	FBgn0262330	NA
FBgn0085360	FBgn0052485	FBgn0050122	NA	NA	NA	NA	NA	NA	FBgn0032910	FBgn0038606	FBgn0033448	FBgn0040929	NA	NA	NA	FBgn0262903	NA
FBgn0085361	FBgn0266918	FBgn0050197	NA	NA	NA	NA	NA	NA	FBgn0034674	FBgn0035312	FBgn0033481	FBgn0041096	NA	NA	NA	FBgn0263341	NA
FBgn0085376	FBgn0052487	FBgn0050265	NA	NA	NA	NA	NA	NA	FBgn0030569	FBgn0033085	FBgn0033494	FBgn0041097	NA	NA	NA	FBgn0263657	NA
FBgn0085382	FBgn0052488	FBgn0050268	NA	NA	NA	NA	NA	NA	FBgn0031800	FBgn0030286	FBgn0033518	FBgn0041150	NA	NA	NA	FBgn0263658	NA
FBgn0085383	FBgn0052506	FBgn0050271	NA	NA	NA	NA	NA	NA	FBgn0031818	FBgn0030481	FBgn0033591	FBgn0041234	NA	NA	NA	FBgn0263871	NA
FBgn0085391	FBgn0052507	FBgn0050272	NA	NA	NA	NA	NA	NA	FBgn0032083	FBgn0031561	FBgn0033592	FBgn0041585	NA	NA	NA	FBgn0263872	NA
FBgn0085430	FBgn0052647	FBgn0050274	NA	NA	NA	NA	NA	NA	FBgn0031824	FBgn0042198	FBgn0033679	FBgn0046258	NA	NA	NA	FBgn0263933	NA
FBgn0085451	FBgn0052649	FBgn0050278	NA	NA	NA	NA	NA	NA	FBgn0031822	FBgn0035343	FBgn0033696	FBgn0046692	NA	NA	NA	FBgn0263983	NA
FBgn0085462	FBgn0052650	FBgn0031645	NA	NA	NA	NA	NA	NA	FBgn0029950	FBgn0038881	FBgn0033728	FBgn0046704	NA	NA	NA	FBgn0264357	NA
FBgn0085478	FBgn0052651	FBgn0050395	NA	NA	NA	NA	NA	NA	FBgn0031529	FBgn0036574	FBgn0033733	FBgn0050069	NA	NA	NA	FBgn0264470	NA
FBgn0085480	FBgn0052652	FBgn0034703	NA	NA	NA	NA	NA	NA	FBgn0031516	FBgn0028942	FBgn0033773	FBgn0050158	NA	NA	NA	FBgn0264542	NA
FBgn0085481	FBgn0052655	FBgn0050456	NA	NA	NA	NA	NA	NA	FBgn0036663	FBgn0028941	FBgn0033777	FBgn0050185	NA	NA	NA	FBgn0264678	NA
FBgn0261444	FBgn0052755	FBgn0050460	NA	NA	NA	NA	NA	NA	FBgn0036659	FBgn0032338	FBgn0033778	FBgn0050263	NA	NA	NA	FBgn0264855	NA
FBgn0031600	FBgn0052756	FBgn0050463	NA	NA	NA	NA	NA	NA	FBgn0034614	FBgn0038809	FBgn0033787	FBgn0050323	NA	NA	NA	FBgn0264869	NA
FBgn0038820	FBgn0036017	FBgn0050466	NA	NA	NA	NA	NA	NA	FBgn0034861	FBgn0032519	FBgn0033792	FBgn0050413	NA	NA	NA	FBgn0265064	NA
FBgn0030418	FBgn0036016	FBgn0023527	NA	NA	NA	NA	NA	NA	FBgn0034903	FBgn0032385	FBgn0033807	FBgn0050418	NA	NA	NA	FBgn0265138	NA
FBgn0028888	FBgn0053159	FBgn0023524	NA	NA	NA	NA	NA	NA	FBgn0031413	FBgn0039972	FBgn0033815	FBgn0050419	NA	NA	NA	FBgn0265814	NA
FBgn0087041	FBgn0053160	FBgn0029608	NA	NA	NA	NA	NA	NA	FBgn0035371	FBgn0039070	FBgn0033816	FBgn0050463	NA	NA	NA	FBgn0266036	NA
FBgn0259163	FBgn0053230	FBgn0051016	NA	NA	NA	NA	NA	NA	FBgn0038142	FBgn0260454	FBgn0033853	FBgn0051108	NA	NA	NA	FBgn0266433	NA
FBgn0259198	FBgn0036018	FBgn0051021	NA	NA	NA	NA	NA	NA	FBgn0043002	FBgn0260453	FBgn0033855	FBgn0051145	NA	NA	NA	FBgn0266557	NA
FBgn0259213	FBgn0053696	FBgn0051028	NA	NA	NA	NA	NA	NA	FBgn0022702	FBgn0035581	FBgn0033866	FBgn0051217	NA	NA	NA	FBgn0266566	NA
FBgn0259223	FBgn0053700	FBgn0051030	NA	NA	NA	NA	NA	NA	FBgn0000317	FBgn0036440	FBgn0033867	FBgn0051220	NA	NA	NA	FBgn0266797	NA
FBgn0259242	FBgn0053702	FBgn0051036	NA	NA	NA	NA	NA	NA	FBgn0044323	FBgn0032414	FBgn0033903	FBgn0051510	NA	NA	NA	FBgn0266884	NA
FBgn0259734	FBgn0053703	FBgn0031473	NA	NA	NA	NA	NA	NA	FBgn0020503	FBgn0038828	FBgn0033904	FBgn0051575	NA	NA	NA	FBgn0266906	NA
FBgn0259735	FBgn0035240	FBgn0051140	NA	NA	NA	NA	NA	NA	FBgn0019830	FBgn0032772	FBgn0033933	FBgn0051577	NA	NA	NA	FBgn0267181	NA
FBgn0259927	FBgn0053926	FBgn0031471	NA	NA	NA	NA	NA	NA	FBgn0259236	FBgn0036391	FBgn0033936	FBgn0051619	NA	NA	NA	FBgn0267708	NA
FBgn0259935	FBgn0064119	FBgn0031466	NA	NA	NA	NA	NA	NA	FBgn0005775	FBgn0031861	FBgn0033949	FBgn0051626	NA	NA	NA	FBgn0267711	NA
FBgn0260487	FBgn0053965	FBgn0051249	NA	NA	NA	NA	NA	NA	FBgn0261269	FBgn0031858	FBgn0033952	FBgn0051664	NA	NA	NA	FBgn0267972	NA
FBgn0260656	FBgn0053966	FBgn0051324	NA	NA	NA	NA	NA	NA	FBgn0263995	FBgn0032775	FBgn0033958	FBgn0051778	NA	NA	NA	FBgn0267991	NA
FBgn0260657	FBgn0036008	FBgn0051427	NA	NA	NA	NA	NA	NA	FBgn0015623	FBgn0260000	FBgn0033982	FBgn0051781	NA	NA	NA	FBgn0000497	NA
FBgn0260759	FBgn0083974	FBgn0051445	NA	NA	NA	NA	NA	NA	FBgn0039805	FBgn0033777	FBgn0033987	FBgn0051933	NA	NA	NA	FBgn0004876	NA
FBgn0260760	FBgn0085196	FBgn0051446	NA	NA	NA	NA	NA	NA	FBgn0052194	FBgn0264494	FBgn0033988	FBgn0051961	NA	NA	NA	FBgn0034720	NA
FBgn0260873	FBgn0085197	FBgn0051646	NA	NA	NA	NA	NA	NA	FBgn0052773	FBgn0034883	FBgn0033989	FBgn0052103	NA	NA	NA	FBgn0034731	NA
FBgn0260967	FBgn0085273	FBgn0029896	NA	NA	NA	NA	NA	NA	FBgn0052835	FBgn0034352	FBgn0034013	FBgn0052133	NA	NA	NA	FBgn0034741	NA
FBgn0260968	FBgn0085294	FBgn0031449	NA	NA	NA	NA	NA	NA	FBgn0261708	FBgn0040056	FBgn0034035	FBgn0052183	NA	NA	NA	FBgn0263974	NA
FBgn0261262	FBgn0085313	FBgn0051690	NA	NA	NA	NA	NA	NA	FBgn0262107	FBgn0033710	FBgn0034045	FBgn0052396	NA	NA	NA	FBgn0266432	NA
FBgn0261536	FBgn0085315	FBgn0051694	NA	NA	NA	NA	NA	NA	FBgn0262142	FBgn0036454	FBgn0034046	FBgn0052479	NA	NA	NA	FBgn0034276	NA
FBgn0261537	FBgn0085352	FBgn0051706	NA	NA	NA	NA	NA	NA	FBgn0262944	FBgn0028480	FBgn0034062	FBgn0052506	NA	NA	NA	FBgn0052773	NA
FBgn0261555	FBgn0036000	FBgn0051708	NA	NA	NA	NA	NA	NA	FBgn0263019	FBgn0030061	FBgn0034063	FBgn0052533	NA	NA	NA	FBgn0000256	NA
FBgn0261568	FBgn0085385	FBgn0023525	NA	NA	NA	NA	NA	NA	FBgn0263379	FBgn0032600	FBgn0034071	FBgn0052755	NA	NA	NA	FBgn0031322	NA
FBgn0261570	FBgn0035998	FBgn0051950	NA	NA	NA	NA	NA	NA	FBgn0264372	FBgn0034512	FBgn0034072	FBgn0052758	NA	NA	NA	FBgn0031571	NA
FBgn0261683	FBgn0085411	FBgn0051961	NA	NA	NA	NA	NA	NA	FBgn0264435	FBgn0265268	FBgn0034075	FBgn0052773	NA	NA	NA	FBgn0034734	NA
FBgn0261704	FBgn0085455	FBgn0029887	NA	NA	NA	NA	NA	NA	FBgn0264447	FBgn0043825	FBgn0034076	FBgn0052832	NA	NA	NA	FBgn0041097	NA
FBgn0261803	FBgn0085456	FBgn0052037	NA	NA	NA	NA	NA	NA	FBgn0264513	FBgn0036873	FBgn0034085	FBgn0052982	NA	NA	NA	FBgn0050268	NA
FBgn0262357	FBgn0085484	FBgn0052039	NA	NA	NA	NA	NA	NA	FBgn0264675	FBgn0028518	FBgn0034091	FBgn0053100	NA	NA	NA	FBgn0051050	NA
FBgn0262587	FBgn0085485	FBgn0052082	NA	NA	NA	NA	NA	NA	FBgn0264942	FBgn0028527	FBgn0034105	FBgn0053223	NA	NA	NA	FBgn0262517	NA
FBgn0262588	FBgn0035996	FBgn0052085	NA	NA	NA	NA	NA	NA	FBgn0265079	FBgn0031469	FBgn0034106	FBgn0053516	NA	NA	NA	FBgn0262898	NA
FBgn0262606	FBgn0038706	FBgn0052137	NA	NA	NA	NA	NA	NA	FBgn0265300	FBgn0034279	FBgn0034110	FBgn0053526	NA	NA	NA	NA	NA
FBgn0262719	FBgn0035995	FBgn0052138	NA	NA	NA	NA	NA	NA	FBgn0265301	FBgn0042185	FBgn0034121	FBgn0053531	NA	NA	NA	NA	NA
FBgn0262822	FBgn0035999	FBgn0052191	NA	NA	NA	NA	NA	NA	FBgn0265377	FBgn0042126	FBgn0034122	FBgn0053970	NA	NA	NA	NA	NA
FBgn0262984	FBgn0038697	FBgn0052313	NA	NA	NA	NA	NA	NA	FBgn0265379	FBgn0030164	FBgn0034126	FBgn0062565	NA	NA	NA	NA	NA
FBgn0263131	FBgn0035987	FBgn0052320	NA	NA	NA	NA	NA	NA	FBgn0265415	FBgn0030485	FBgn0034127	FBgn0082582	NA	NA	NA	NA	NA
FBgn0263706	FBgn0029824	FBgn0052333	NA	NA	NA	NA	NA	NA	FBgn0265664	FBgn0039886	FBgn0034137	FBgn0083945	NA	NA	NA	NA	NA
FBgn0263747	FBgn0038700	FBgn0052373	NA	NA	NA	NA	NA	NA	FBgn0265681	FBgn0039664	FBgn0034141	FBgn0083956	NA	NA	NA	NA	NA
FBgn0263748	FBgn0038702	FBgn0052413	NA	NA	NA	NA	NA	NA	FBgn0265797	FBgn0037292	FBgn0034142	FBgn0085395	NA	NA	NA	NA	NA
FBgn0264090	FBgn0038692	FBgn0052479	NA	NA	NA	NA	NA	NA	FBgn0265818	FBgn0039790	FBgn0034143	FBgn0085397	NA	NA	NA	NA	NA
FBgn0265413	FBgn0030425	FBgn0052645	NA	NA	NA	NA	NA	NA	FBgn0265981	FBgn0039665	FBgn0034145	FBgn0085410	NA	NA	NA	NA	NA
FBgn0266100	FBgn0030421	FBgn0052683	NA	NA	NA	NA	NA	NA	FBgn0265982	FBgn0030407	FBgn0034152	FBgn0085413	NA	NA	NA	NA	NA
FBgn0266354	FBgn0036422	FBgn0052698	NA	NA	NA	NA	NA	NA	FBgn0266005	FBgn0037512	FBgn0034153	FBgn0085447	NA	NA	NA	NA	NA
FBgn0266696	FBgn0036423	FBgn0267253	NA	NA	NA	NA	NA	NA	FBgn0266045	FBgn0037541	FBgn0034154	FBgn0085486	NA	NA	NA	NA	NA
FBgn0038735	FBgn0035989	FBgn0052750	NA	NA	NA	NA	NA	NA	FBgn0266096	FBgn0031564	FBgn0034157	FBgn0086370	NA	NA	NA	NA	NA
FBgn0030790	FBgn0035988	FBgn0052751	NA	NA	NA	NA	NA	NA	FBgn0266115	FBgn0031646	FBgn0034158	FBgn0086604	NA	NA	NA	NA	NA
FBgn0038756	FBgn0030418	FBgn0052762	NA	NA	NA	NA	NA	NA	FBgn0266199	FBgn0030195	FBgn0034160	FBgn0086758	NA	NA	NA	NA	NA
FBgn0030792	FBgn0029821	FBgn0052783	NA	NA	NA	NA	NA	NA	FBgn0266207	FBgn0034689	FBgn0034165	FBgn0086906	NA	NA	NA	NA	NA
FBgn0030796	FBgn0035986	FBgn0052791	NA	NA	NA	NA	NA	NA	FBgn0266214	FBgn0034936	FBgn0034175	FBgn0086913	NA	NA	NA	NA	NA
FBgn0030799	FBgn0035983	FBgn0023531	NA	NA	NA	NA	NA	NA	FBgn0266315	FBgn0030177	FBgn0034176	FBgn0243486	NA	NA	NA	NA	NA
FBgn0030803	FBgn0259143	FBgn0052855	NA	NA	NA	NA	NA	NA	FBgn0266350	FBgn0031468	FBgn0034181	FBgn0250788	NA	NA	NA	NA	NA
FBgn0028884	FBgn0259163	FBgn0052856	NA	NA	NA	NA	NA	NA	FBgn0266588	FBgn0050015	FBgn0034187	FBgn0250789	NA	NA	NA	NA	NA
FBgn0034139	FBgn0259224	FBgn0034711	NA	NA	NA	NA	NA	NA	FBgn0266589	FBgn0050022	FBgn0034196	FBgn0250850	NA	NA	NA	NA	NA
FBgn0027556	FBgn0259704	FBgn0053017	NA	NA	NA	NA	NA	NA	FBgn0266694	FBgn0050083	FBgn0034200	FBgn0250867	NA	NA	NA	NA	NA
FBgn0034137	FBgn0259705	FBgn0028916	NA	NA	NA	NA	NA	NA	FBgn0266804	FBgn0050089	FBgn0034229	FBgn0259145	NA	NA	NA	NA	NA
FBgn0039563	FBgn0259932	FBgn0053123	NA	NA	NA	NA	NA	NA	FBgn0266807	FBgn0028496	FBgn0034230	FBgn0259163	NA	NA	NA	NA	NA
FBgn0034145	FBgn0259933	FBgn0053129	NA	NA	NA	NA	NA	NA	FBgn0266855	FBgn0050122	FBgn0034237	FBgn0259175	NA	NA	NA	NA	NA
FBgn0030838	FBgn0260026	FBgn0053136	NA	NA	NA	NA	NA	NA	FBgn0266856	FBgn0050154	FBgn0034240	FBgn0259221	NA	NA	NA	NA	NA
FBgn0039427	FBgn0260234	FBgn0053143	NA	NA	NA	NA	NA	NA	FBgn0266939	FBgn0050158	FBgn0034249	FBgn0259245	NA	NA	NA	NA	NA
FBgn0039461	FBgn0260430	FBgn0053181	NA	NA	NA	NA	NA	NA	FBgn0267143	FBgn0050184	FBgn0034253	FBgn0260237	NA	NA	NA	NA	NA
FBgn0034158	FBgn0260431	FBgn0053203	NA	NA	NA	NA	NA	NA	FBgn0267270	FBgn0050187	FBgn0034258	FBgn0260442	NA	NA	NA	NA	NA
FBgn0039537	FBgn0260867	FBgn0053230	NA	NA	NA	NA	NA	NA	FBgn0046297	FBgn0050196	FBgn0034261	FBgn0260862	NA	NA	NA	NA	NA
FBgn0039529	FBgn0260868	FBgn0053233	NA	NA	NA	NA	NA	NA	FBgn0020309	FBgn0050268	FBgn0034262	FBgn0260943	NA	NA	NA	NA	NA
FBgn0030839	FBgn0260869	FBgn0053234	NA	NA	NA	NA	NA	NA	FBgn0262081	FBgn0050288	FBgn0034264	FBgn0260964	NA	NA	NA	NA	NA
FBgn0039525	FBgn0260870	FBgn0035802	NA	NA	NA	NA	NA	NA	FBgn0004198	FBgn0050325	FBgn0034265	FBgn0261046	NA	NA	NA	NA	NA
FBgn0032455	FBgn0261262	FBgn0053281	NA	NA	NA	NA	NA	NA	FBgn0033890	FBgn0050334	FBgn0034269	FBgn0261260	NA	NA	NA	NA	NA
FBgn0015338	FBgn0261550	FBgn0032120	NA	NA	NA	NA	NA	NA	FBgn0000395	FBgn0031645	FBgn0034270	FBgn0261353	NA	NA	NA	NA	NA
FBgn0039495	FBgn0261555	FBgn0031514	NA	NA	NA	NA	NA	NA	FBgn0038095	FBgn0050409	FBgn0034272	FBgn0261381	NA	NA	NA	NA	NA
FBgn0032587	FBgn0261562	FBgn0067629	NA	NA	NA	NA	NA	NA	FBgn0033524	FBgn0050417	FBgn0034277	FBgn0261461	NA	NA	NA	NA	NA
FBgn0032588	FBgn0261926	FBgn0053458	NA	NA	NA	NA	NA	NA	FBgn0030001	FBgn0050419	FBgn0034289	FBgn0261535	NA	NA	NA	NA	NA
FBgn0039500	FBgn0261999	FBgn0031513	NA	NA	NA	NA	NA	NA	FBgn0022699	FBgn0050432	FBgn0034307	FBgn0261547	NA	NA	NA	NA	NA
FBgn0039501	FBgn0262000	FBgn0053668	NA	NA	NA	NA	NA	NA	FBgn0085390	FBgn0050438	FBgn0034345	FBgn0261549	NA	NA	NA	NA	NA
FBgn0017429	FBgn0038799	FBgn0053700	NA	NA	NA	NA	NA	NA	FBgn0032048	FBgn0050456	FBgn0034346	FBgn0261553	NA	NA	NA	NA	NA
FBgn0039492	FBgn0262508	FBgn0053704	NA	NA	NA	NA	NA	NA	FBgn0052843	FBgn0050463	FBgn0034351	FBgn0261563	NA	NA	NA	NA	NA
FBgn0030914	FBgn0038795	FBgn0035240	NA	NA	NA	NA	NA	NA	FBgn0033932	FBgn0050466	FBgn0034352	FBgn0261565	NA	NA	NA	NA	NA
FBgn0030913	FBgn0038787	FBgn0053966	NA	NA	NA	NA	NA	NA	FBgn0261797	FBgn0051013	FBgn0034356	FBgn0261611	NA	NA	NA	NA	NA
FBgn0035914	FBgn0038784	FBgn0053970	NA	NA	NA	NA	NA	NA	FBgn0027610	FBgn0051016	FBgn0034366	FBgn0261627	NA	NA	NA	NA	NA
FBgn0032624	FBgn0038783	FBgn0054040	NA	NA	NA	NA	NA	NA	FBgn0261934	FBgn0051036	FBgn0034372	FBgn0261822	NA	NA	NA	NA	NA
FBgn0039464	FBgn0264305	FBgn0036008	NA	NA	NA	NA	NA	NA	FBgn0031820	FBgn0051077	FBgn0034391	FBgn0261833	NA	NA	NA	NA	NA
FBgn0034162	FBgn0264489	FBgn0083991	NA	NA	NA	NA	NA	NA	FBgn0000479	FBgn0029807	FBgn0034392	FBgn0262140	NA	NA	NA	NA	NA
FBgn0030936	FBgn0038771	FBgn0085191	NA	NA	NA	NA	NA	NA	FBgn0265998	FBgn0051087	FBgn0034396	FBgn0262369	NA	NA	NA	NA	NA
FBgn0038909	FBgn0264542	FBgn0085217	NA	NA	NA	NA	NA	NA	FBgn0020306	FBgn0051099	FBgn0034399	FBgn0262690	NA	NA	NA	NA	NA
FBgn0030944	FBgn0030431	FBgn0085228	NA	NA	NA	NA	NA	NA	FBgn0040823	FBgn0051121	FBgn0034400	FBgn0262719	NA	NA	NA	NA	NA
FBgn0030946	FBgn0038765	FBgn0085294	NA	NA	NA	NA	NA	NA	FBgn0265296	FBgn0051145	FBgn0034406	FBgn0262730	NA	NA	NA	NA	NA
FBgn0038917	FBgn0038763	FBgn0085303	NA	NA	NA	NA	NA	NA	FBgn0261046	FBgn0051191	FBgn0034408	FBgn0262737	NA	NA	NA	NA	NA
FBgn0030947	FBgn0035980	FBgn0085349	NA	NA	NA	NA	NA	NA	FBgn0261799	FBgn0051199	FBgn0034420	FBgn0262794	NA	NA	NA	NA	NA
FBgn0030951	FBgn0035981	FBgn0085369	NA	NA	NA	NA	NA	NA	FBgn0031464	FBgn0051321	FBgn0034425	FBgn0262970	NA	NA	NA	NA	NA
