Sex	Plate	Diet	Age	Rep
T02_f_6	f	1	t0	young	t0
T02_f_7	f	1	t0	young	t0
T02_f_8	f	1	t0	young	t0
T02_f_9	f	2	t0	young	t0
T02_m_10	m	2	t0	young	t0
T02_m_11	m	2	t0	young	t0
T02_m_12	m	2	t0	young	t0
T02_m_13	m	2	t0	young	t0
T02_m_14	m	2	t0	young	t0
T02_m_15	m	2	t0	young	t0
T02_m_16	m	2	t0	young	t0
T02_m_1	m	1	t0	young	t0
T02_m_2	m	1	t0	young	t0
T02_m_3	m	1	t0	young	t0
T02_m_4	m	1	t0	young	t0
T02_m_5	m	1	t0	young	t0
T02_m_6	m	1	t0	young	t0
T02_m_7	m	1	t0	young	t0
T02_m_8	m	1	t0	young	t0
T02_m_9	m	2	t0	young	t0
