shared_DEG	gxe_DEG	allgenesdeg	shared_entrez	gxe_entrez	all_entrez
NA	NA	FBgn0024909	NA	NA	40934
NA	NA	FBgn0014931	NA	NA	40937
NA	NA	FBgn0002542	NA	NA	45894
NA	NA	FBgn0000504	NA	NA	40940
NA	NA	FBgn0037531	NA	NA	40938
NA	NA	FBgn0014930	NA	NA	40936
NA	NA	FBgn0004901	NA	NA	40935
NA	NA	FBgn0037530	NA	NA	40933
NA	NA	FBgn0037529	NA	NA	40932
NA	NA	FBgn0037521	NA	NA	40924
NA	NA	FBgn0037520	NA	NA	40923
NA	NA	FBgn0037519	NA	NA	40922
NA	NA	FBgn0042101	NA	NA	59140
NA	NA	FBgn0042103	NA	NA	59142
NA	NA	FBgn0042105	NA	NA	59144
NA	NA	FBgn0042102	NA	NA	59141
NA	NA	FBgn0042104	NA	NA	59143
NA	NA	FBgn0037516	NA	NA	40919
NA	NA	FBgn0037513	NA	NA	40916
NA	NA	FBgn0010401	NA	NA	40942
NA	NA	FBgn0037535	NA	NA	40944
NA	NA	FBgn0037536	NA	NA	40945
NA	NA	FBgn0037538	NA	NA	40947
NA	NA	FBgn0010812	NA	NA	44910
NA	NA	FBgn0037546	NA	NA	40955
NA	NA	FBgn0037547	NA	NA	40956
NA	NA	FBgn0037548	NA	NA	40957
NA	NA	FBgn0037551	NA	NA	40961
NA	NA	FBgn0037552	NA	NA	40963
NA	NA	FBgn0037553	NA	NA	40964
NA	NA	FBgn0037554	NA	NA	40965
NA	NA	FBgn0040528	NA	NA	50001
NA	NA	FBgn0037556	NA	NA	40967
NA	NA	FBgn0001138	NA	NA	40962
NA	NA	FBgn0037544	NA	NA	40953
NA	NA	FBgn0037541	NA	NA	40950
NA	NA	FBgn0037539	NA	NA	40948
NA	NA	FBgn0040524	NA	NA	49997
NA	NA	FBgn0037537	NA	NA	40946
NA	NA	FBgn0037534	NA	NA	40943
NA	NA	FBgn0037533	NA	NA	40941
NA	NA	FBgn0014861	NA	NA	40973
NA	NA	FBgn0037562	NA	NA	40976
NA	NA	FBgn0051463	NA	NA	40978
NA	NA	FBgn0037566	NA	NA	40980
NA	NA	FBgn0037572	NA	NA	40986
NA	NA	FBgn0037573	NA	NA	40987
NA	NA	FBgn0062412	NA	NA	40989
NA	NA	FBgn0004908	NA	NA	40993
NA	NA	FBgn0037579	NA	NA	40995
NA	NA	FBgn0037580	NA	NA	40996
NA	NA	FBgn0037581	NA	NA	40997
NA	NA	FBgn0020249	NA	NA	40999
NA	NA	FBgn0037583	NA	NA	41000
NA	NA	FBgn0037578	NA	NA	40994
NA	NA	FBgn0040529	NA	NA	50002
NA	NA	FBgn0037574	NA	NA	40988
NA	NA	FBgn0037571	NA	NA	40985
NA	NA	FBgn0037569	NA	NA	40983
NA	NA	FBgn0037565	NA	NA	40979
NA	NA	FBgn0037563	NA	NA	40977
NA	NA	FBgn0037561	NA	NA	40974
NA	NA	FBgn0010173	NA	NA	40972
NA	NA	FBgn0037592	NA	NA	41009
NA	NA	FBgn0051259	NA	NA	41010
NA	NA	FBgn0037602	NA	NA	41021
NA	NA	FBgn0037603	NA	NA	41023
NA	NA	FBgn0037607	NA	NA	41027
NA	NA	FBgn0000447	NA	NA	41022
NA	NA	FBgn0024326	NA	NA	41020
NA	NA	FBgn0037601	NA	NA	41019
NA	NA	FBgn0051450	NA	NA	326141
NA	NA	FBgn0051453	NA	NA	41013
NA	NA	FBgn0037608	NA	NA	41028
NA	NA	FBgn0037611	NA	NA	41031
NA	NA	FBgn0037616	NA	NA	41037
NA	NA	FBgn0037617	NA	NA	41038
NA	NA	FBgn0037619	NA	NA	41040
NA	NA	FBgn0037622	NA	NA	41043
NA	NA	FBgn0037626	NA	NA	41047
NA	NA	FBgn0037632	NA	NA	41054
NA	NA	FBgn0037634	NA	NA	41056
NA	NA	FBgn0040532	NA	NA	50005
NA	NA	FBgn0037638	NA	NA	41060
NA	NA	FBgn0037637	NA	NA	41059
NA	NA	FBgn0037636	NA	NA	41058
NA	NA	FBgn0037627	NA	NA	41048
NA	NA	FBgn0037623	NA	NA	41044
NA	NA	FBgn0037621	NA	NA	41042
NA	NA	FBgn0037620	NA	NA	41041
NA	NA	FBgn0037613	NA	NA	41034
NA	NA	FBgn0001180	NA	NA	41032
NA	NA	FBgn0053325	NA	NA	2768664
NA	NA	FBgn0037609	NA	NA	41029
NA	NA	FBgn0037643	NA	NA	41067
NA	NA	FBgn0037646	NA	NA	41070
NA	NA	FBgn0027503	NA	NA	41072
NA	NA	FBgn0037648	NA	NA	41074
NA	NA	FBgn0037652	NA	NA	41078
NA	NA	FBgn0037653	NA	NA	41080
NA	NA	FBgn0037654	NA	NA	41081
NA	NA	FBgn0037656	NA	NA	41083
NA	NA	FBgn0037657	NA	NA	41086
NA	NA	FBgn0028708	NA	NA	41089
NA	NA	FBgn0037659	NA	NA	41090
NA	NA	FBgn0037661	NA	NA	41092
NA	NA	FBgn0037664	NA	NA	41097
NA	NA	FBgn0037667	NA	NA	41100
NA	NA	FBgn0037670	NA	NA	41103
NA	NA	FBgn0037671	NA	NA	41104
NA	NA	FBgn0010803	NA	NA	45399
NA	NA	FBgn0037672	NA	NA	41105
NA	NA	FBgn0037669	NA	NA	41102
NA	NA	FBgn0037668	NA	NA	41101
NA	NA	FBgn0000412	NA	NA	41095
NA	NA	FBgn0003165	NA	NA	41094
NA	NA	FBgn0037660	NA	NA	41091
NA	NA	FBgn0010222	NA	NA	47895
NA	NA	FBgn0002932	NA	NA	41085
NA	NA	FBgn0040534	NA	NA	50007
NA	NA	FBgn0037655	NA	NA	41082
NA	NA	FBgn0026380	NA	NA	41079
NA	NA	FBgn0051100	NA	NA	41075
NA	NA	FBgn0037647	NA	NA	41071
NA	NA	FBgn0037644	NA	NA	41068
NA	NA	FBgn0037680	NA	NA	41113
NA	NA	FBgn0037683	NA	NA	41116
NA	NA	FBgn0037684	NA	NA	41117
NA	NA	FBgn0037687	NA	NA	41121
NA	NA	FBgn0011740	NA	NA	41126
NA	NA	FBgn0037697	NA	NA	41133
NA	NA	FBgn0037696	NA	NA	41132
NA	NA	FBgn0037690	NA	NA	41125
NA	NA	FBgn0003889	NA	NA	41124
NA	NA	FBgn0037688	NA	NA	41122
NA	NA	FBgn0037686	NA	NA	41120
NA	NA	FBgn0000723	NA	NA	41118
NA	NA	FBgn0037679	NA	NA	41112
NA	NA	FBgn0037678	NA	NA	41111
NA	NA	FBgn0037676	NA	NA	41109
NA	NA	FBgn0037700	NA	NA	41137
NA	NA	FBgn0014022	NA	NA	41139
NA	NA	FBgn0037702	NA	NA	261329
NA	NA	FBgn0037707	NA	NA	41147
NA	NA	FBgn0037709	NA	NA	41149
NA	NA	FBgn0027950	NA	NA	41151
NA	NA	FBgn0037717	NA	NA	41160
NA	NA	FBgn0037718	NA	NA	41161
NA	NA	FBgn0037720	NA	NA	41163
NA	NA	FBgn0037722	NA	NA	41165
NA	NA	FBgn0037723	NA	NA	41167
NA	NA	FBgn0012344	NA	NA	41170
NA	NA	FBgn0037727	NA	NA	41172
NA	NA	FBgn0037728	NA	NA	41173
NA	NA	FBgn0028997	NA	NA	41174
NA	NA	FBgn0003886	NA	NA	41183
NA	NA	FBgn0002431	NA	NA	41181
NA	NA	FBgn0037734	NA	NA	41179
NA	NA	FBgn0051352	NA	NA	261629
NA	NA	FBgn0069242	NA	NA	41177
NA	NA	FBgn0037730	NA	NA	41175
NA	NA	FBgn0037726	NA	NA	41171
NA	NA	FBgn0003334	NA	NA	41168
NA	NA	FBgn0005585	NA	NA	41166
NA	NA	FBgn0037721	NA	NA	41164
NA	NA	FBgn0027338	NA	NA	41158
NA	NA	FBgn0037715	NA	NA	41157
NA	NA	FBgn0037714	NA	NA	41156
NA	NA	FBgn0037713	NA	NA	41155
NA	NA	FBgn0037710	NA	NA	41152
NA	NA	FBgn0024833	NA	NA	41150
NA	NA	FBgn0037708	NA	NA	41148
NA	NA	FBgn0037705	NA	NA	41145
NA	NA	FBgn0000244	NA	NA	41144
NA	NA	FBgn0014023	NA	NA	41141
NA	NA	FBgn0003205	NA	NA	41140
NA	NA	FBgn0014380	NA	NA	41136
NA	NA	FBgn0037698	NA	NA	41134
NA	NA	FBgn0037737	NA	NA	41185
NA	NA	FBgn0005777	NA	NA	49779
NA	NA	FBgn0037743	NA	NA	41191
NA	NA	FBgn0037744	NA	NA	41192
NA	NA	FBgn0037751	NA	NA	41199
NA	NA	FBgn0037753	NA	NA	41201
NA	NA	FBgn0037756	NA	NA	41205
NA	NA	FBgn0037757	NA	NA	41206
NA	NA	FBgn0037759	NA	NA	41208
NA	NA	FBgn0037762	NA	NA	41211
NA	NA	FBgn0037766	NA	NA	41215
NA	NA	FBgn0037765	NA	NA	41214
NA	NA	FBgn0037763	NA	NA	41212
NA	NA	FBgn0037760	NA	NA	41209
NA	NA	FBgn0037758	NA	NA	41207
NA	NA	FBgn0037755	NA	NA	41204
NA	NA	FBgn0002868	NA	NA	41202
NA	NA	FBgn0037750	NA	NA	41198
NA	NA	FBgn0037749	NA	NA	41197
NA	NA	FBgn0024330	NA	NA	44728
NA	NA	FBgn0037742	NA	NA	41190
NA	NA	FBgn0037741	NA	NA	41189
NA	NA	FBgn0037739	NA	NA	41187
NA	NA	FBgn0037736	NA	NA	41184
NA	NA	FBgn0027524	NA	NA	41226
NA	NA	FBgn0037778	NA	NA	41228
NA	NA	FBgn0037780	NA	NA	41230
NA	NA	FBgn0037788	NA	NA	41238
NA	NA	FBgn0051477	NA	NA	326144
NA	NA	FBgn0037796	NA	NA	41246
NA	NA	FBgn0040238	NA	NA	53431
NA	NA	FBgn0037794	NA	NA	41244
NA	NA	FBgn0037792	NA	NA	41242
NA	NA	FBgn0004889	NA	NA	47877
NA	NA	FBgn0028734	NA	NA	37528
NA	NA	FBgn0037786	NA	NA	41236
NA	NA	FBgn0037782	NA	NA	41232
NA	NA	FBgn0037781	NA	NA	41231
NA	NA	FBgn0037779	NA	NA	41229
NA	NA	FBgn0037777	NA	NA	41227
NA	NA	FBgn0053208	NA	NA	41225
NA	NA	FBgn0037773	NA	NA	41222
NA	NA	FBgn0037801	NA	NA	41253
NA	NA	FBgn0040078	NA	NA	53439
NA	NA	FBgn0037809	NA	NA	41261
NA	NA	FBgn0037810	NA	NA	41262
NA	NA	FBgn0037811	NA	NA	41263
NA	NA	FBgn0051406	NA	NA	318715
NA	NA	FBgn0015396	NA	NA	41265
NA	NA	FBgn0020379	NA	NA	41266
NA	NA	FBgn0037807	NA	NA	41259
NA	NA	FBgn0037802	NA	NA	NA
NA	NA	FBgn0037798	NA	NA	41250
NA	NA	FBgn0037815	NA	NA	41270
NA	NA	FBgn0037817	NA	NA	41272
NA	NA	FBgn0037816	NA	NA	41271
NA	NA	FBgn0024957	NA	NA	41269
NA	NA	FBgn0037814	NA	NA	41268
NA	NA	FBgn0037824	NA	NA	41281
NA	NA	FBgn0037827	NA	NA	41284
NA	NA	FBgn0037831	NA	NA	41289
NA	NA	FBgn0017577	NA	NA	41296
NA	NA	FBgn0037835	NA	NA	41297
NA	NA	FBgn0037838	NA	NA	41300
NA	NA	FBgn0037843	NA	NA	41305
NA	NA	FBgn0037844	NA	NA	41306
NA	NA	FBgn0037848	NA	NA	41310
NA	NA	FBgn0037849	NA	NA	41312
NA	NA	FBgn0011768	NA	NA	41311
NA	NA	FBgn0037846	NA	NA	41308
NA	NA	FBgn0037845	NA	NA	41307
NA	NA	FBgn0037842	NA	NA	41304
NA	NA	FBgn0037837	NA	NA	41299
NA	NA	FBgn0037834	NA	NA	41295
NA	NA	FBgn0010421	NA	NA	41290
NA	NA	FBgn0051390	NA	NA	41288
NA	NA	FBgn0051272	NA	NA	326130
NA	NA	FBgn0037829	NA	NA	41287
NA	NA	FBgn0037828	NA	NA	41285
NA	NA	FBgn0037826	NA	NA	41283
NA	NA	FBgn0051373	NA	NA	318700
NA	NA	FBgn0051278	NA	NA	41282
NA	NA	FBgn0051467	NA	NA	318751
NA	NA	FBgn0051391	NA	NA	41280
NA	NA	FBgn0037819	NA	NA	41275
NA	NA	FBgn0037818	NA	NA	41274
NA	NA	FBgn0037856	NA	NA	41320
NA	NA	FBgn0037857	NA	NA	41321
NA	NA	FBgn0037853	NA	NA	41317
NA	NA	FBgn0037852	NA	NA	41316
NA	NA	FBgn0037850	NA	NA	41314
NA	NA	FBgn0037862	NA	NA	41326
NA	NA	FBgn0040257	NA	NA	53508
NA	NA	FBgn0040259	NA	NA	53510
NA	NA	FBgn0027584	NA	NA	41330
NA	NA	FBgn0040252	NA	NA	53503
NA	NA	FBgn0037870	NA	NA	41337
NA	NA	FBgn0037874	NA	NA	41341
NA	NA	FBgn0037876	NA	NA	41344
NA	NA	FBgn0020910	NA	NA	41347
NA	NA	FBgn0037879	NA	NA	41348
NA	NA	FBgn0037880	NA	NA	41349
NA	NA	FBgn0037883	NA	NA	41352
NA	NA	FBgn0037885	NA	NA	41354
NA	NA	FBgn0051441	NA	NA	326139
NA	NA	FBgn0051388	NA	NA	41355
NA	NA	FBgn0037889	NA	NA	41358
NA	NA	FBgn0037891	NA	NA	41360
NA	NA	FBgn0037890	NA	NA	41359
NA	NA	FBgn0037888	NA	NA	41357
NA	NA	FBgn0037884	NA	NA	41353
NA	NA	FBgn0037882	NA	NA	41351
NA	NA	FBgn0037881	NA	NA	41350
NA	NA	FBgn0037878	NA	NA	41346
NA	NA	FBgn0037877	NA	NA	41345
NA	NA	FBgn0037875	NA	NA	41342
NA	NA	FBgn0037873	NA	NA	41340
NA	NA	FBgn0040250	NA	NA	53501
NA	NA	FBgn0026315	NA	NA	41334
NA	NA	FBgn0026314	NA	NA	41333
NA	NA	FBgn0040251	NA	NA	53502
NA	NA	FBgn0040256	NA	NA	53507
NA	NA	FBgn0037860	NA	NA	41324
NA	NA	FBgn0037892	NA	NA	41364
NA	NA	FBgn0011774	NA	NA	117419
NA	NA	FBgn0037894	NA	NA	41367
NA	NA	FBgn0037897	NA	NA	41370
NA	NA	FBgn0037898	NA	NA	41371
NA	NA	FBgn0037900	NA	NA	41373
NA	NA	FBgn0037902	NA	NA	41375
NA	NA	FBgn0046225	NA	NA	41376
NA	NA	FBgn0037908	NA	NA	41381
NA	NA	FBgn0051374	NA	NA	41377
NA	NA	FBgn0037901	NA	NA	41374
NA	NA	FBgn0037899	NA	NA	41372
NA	NA	FBgn0037896	NA	NA	41369
NA	NA	FBgn0037895	NA	NA	41368
NA	NA	FBgn0037910	NA	NA	41383
NA	NA	FBgn0037911	NA	NA	41384
NA	NA	FBgn0037916	NA	NA	41389
NA	NA	FBgn0037917	NA	NA	41390
NA	NA	FBgn0037920	NA	NA	41393
NA	NA	FBgn0042205	NA	NA	59239
NA	NA	FBgn0037924	NA	NA	41397
NA	NA	FBgn0037926	NA	NA	41399
NA	NA	FBgn0037930	NA	NA	41403
NA	NA	FBgn0037933	NA	NA	41407
NA	NA	FBgn0037939	NA	NA	41413
NA	NA	FBgn0025821	NA	NA	41414
NA	NA	FBgn0037941	NA	NA	41416
NA	NA	FBgn0037942	NA	NA	41417
NA	NA	FBgn0037943	NA	NA	41419
NA	NA	FBgn0037944	NA	NA	41420
NA	NA	FBgn0002906	NA	NA	41366
NA	NA	FBgn0037936	NA	NA	41410
NA	NA	FBgn0037935	NA	NA	41409
NA	NA	FBgn0037934	NA	NA	41408
NA	NA	FBgn0011290	NA	NA	41406
NA	NA	FBgn0037931	NA	NA	41404
NA	NA	FBgn0037921	NA	NA	41394
NA	NA	FBgn0051363	NA	NA	41392
NA	NA	FBgn0037918	NA	NA	41391
NA	NA	FBgn0037915	NA	NA	41388
NA	NA	FBgn0037950	NA	NA	41426
NA	NA	FBgn0019624	NA	NA	41432
NA	NA	FBgn0003312	NA	NA	44858
NA	NA	FBgn0051368	NA	NA	41437
NA	NA	FBgn0051211	NA	NA	41443
NA	NA	FBgn0000147	NA	NA	41446
NA	NA	FBgn0037976	NA	NA	41456
NA	NA	FBgn0037975	NA	NA	41454
NA	NA	FBgn0037974	NA	NA	41453
NA	NA	FBgn0037973	NA	NA	41452
NA	NA	FBgn0037972	NA	NA	41451
NA	NA	FBgn0037963	NA	NA	41441
NA	NA	FBgn0037962	NA	NA	41440
NA	NA	FBgn0037958	NA	NA	41436
NA	NA	FBgn0037956	NA	NA	41434
NA	NA	FBgn0037955	NA	NA	41433
NA	NA	FBgn0051116	NA	NA	41428
NA	NA	FBgn0025802	NA	NA	41427
NA	NA	FBgn0037949	NA	NA	41425
NA	NA	FBgn0017581	NA	NA	44672
NA	NA	FBgn0037979	NA	NA	41459
NA	NA	FBgn0037981	NA	NA	41461
NA	NA	FBgn0037985	NA	NA	41465
NA	NA	FBgn0051361	NA	NA	41470
NA	NA	FBgn0037995	NA	NA	41476
NA	NA	FBgn0037994	NA	NA	41475
NA	NA	FBgn0037993	NA	NA	41473
NA	NA	FBgn0037989	NA	NA	41469
NA	NA	FBgn0037988	NA	NA	41468
NA	NA	FBgn0037987	NA	NA	41467
NA	NA	FBgn0037980	NA	NA	41460
NA	NA	FBgn0037978	NA	NA	41458
NA	NA	FBgn0038000	NA	NA	41481
NA	NA	FBgn0038008	NA	NA	41489
NA	NA	FBgn0003651	NA	NA	41491
NA	NA	FBgn0038011	NA	NA	41493
NA	NA	FBgn0038012	NA	NA	41494
NA	NA	FBgn0038017	NA	NA	41499
NA	NA	FBgn0010038	NA	NA	48335
NA	NA	FBgn0010039	NA	NA	48336
NA	NA	FBgn0010040	NA	NA	48337
NA	NA	FBgn0010041	NA	NA	48338
NA	NA	FBgn0010043	NA	NA	48340
NA	NA	FBgn0010044	NA	NA	48341
NA	NA	FBgn0038029	NA	NA	41512
NA	NA	FBgn0038038	NA	NA	41521
NA	NA	FBgn0038039	NA	NA	41522
NA	NA	FBgn0082831	NA	NA	41524
NA	NA	FBgn0038043	NA	NA	41526
NA	NA	FBgn0038047	NA	NA	41530
NA	NA	FBgn0038049	NA	NA	41533
NA	NA	FBgn0029512	NA	NA	41532
NA	NA	FBgn0038046	NA	NA	41529
NA	NA	FBgn0004103	NA	NA	49260
NA	NA	FBgn0038042	NA	NA	41525
NA	NA	FBgn0000455	NA	NA	47769
NA	NA	FBgn0038037	NA	NA	41520
NA	NA	FBgn0038020	NA	NA	41502
NA	NA	FBgn0042206	NA	NA	59240
NA	NA	FBgn0038018	NA	NA	41500
NA	NA	FBgn0038016	NA	NA	41498
NA	NA	FBgn0038014	NA	NA	41496
NA	NA	FBgn0038013	NA	NA	41495
NA	NA	FBgn0011270	NA	NA	46246
NA	NA	FBgn0037999	NA	NA	41480
NA	NA	FBgn0037998	NA	NA	41479
NA	NA	FBgn0037996	NA	NA	41477
NA	NA	FBgn0038052	NA	NA	41537
NA	NA	FBgn0038053	NA	NA	41538
NA	NA	FBgn0038055	NA	NA	41540
NA	NA	FBgn0038057	NA	NA	41542
NA	NA	FBgn0013279	NA	NA	44921
NA	NA	FBgn0038065	NA	NA	41551
NA	NA	FBgn0260444	NA	NA	41552
NA	NA	FBgn0038067	NA	NA	41554
NA	NA	FBgn0038068	NA	NA	41555
NA	NA	FBgn0038069	NA	NA	41556
NA	NA	FBgn0038071	NA	NA	41558
NA	NA	FBgn0038072	NA	NA	41559
NA	NA	FBgn0038073	NA	NA	41560
NA	NA	FBgn0038074	NA	NA	41561
NA	NA	FBgn0011745	NA	NA	41566
NA	NA	FBgn0038079	NA	NA	41568
NA	NA	FBgn0016693	NA	NA	41569
NA	NA	FBgn0038080	NA	NA	41570
NA	NA	FBgn0038082	NA	NA	41573
NA	NA	FBgn0038084	NA	NA	41575
NA	NA	FBgn0038083	NA	NA	41574
NA	NA	FBgn0002719	NA	NA	47173
NA	NA	FBgn0002905	NA	NA	41571
NA	NA	FBgn0038078	NA	NA	41567
NA	NA	FBgn0005355	NA	NA	41565
NA	NA	FBgn0001296	NA	NA	45883
NA	NA	FBgn0038076	NA	NA	41563
NA	NA	FBgn0026207	NA	NA	41562
NA	NA	FBgn0005671	NA	NA	41550
NA	NA	FBgn0038058	NA	NA	41543
NA	NA	FBgn0038056	NA	NA	41541
NA	NA	FBgn0038051	NA	NA	2768665
NA	NA	FBgn0038089	NA	NA	41580
NA	NA	FBgn0038092	NA	NA	41583
NA	NA	FBgn0038090	NA	NA	41581
NA	NA	FBgn0038088	NA	NA	41579
NA	NA	FBgn0051345	NA	NA	41576
NA	NA	FBgn0038099	NA	NA	41590
NA	NA	FBgn0038100	NA	NA	41591
NA	NA	FBgn0051342	NA	NA	41592
NA	NA	FBgn0038106	NA	NA	41597
NA	NA	FBgn0038108	NA	NA	41599
NA	NA	FBgn0002354	NA	NA	49762
NA	NA	FBgn0003308	NA	NA	41605
NA	NA	FBgn0038113	NA	NA	41606
NA	NA	FBgn0001217	NA	NA	41609
NA	NA	FBgn0051157	NA	NA	318608
NA	NA	FBgn0004666	NA	NA	41612
NA	NA	FBgn0038118	NA	NA	41615
NA	NA	FBgn0038115	NA	NA	41610
NA	NA	FBgn0003450	NA	NA	41607
NA	NA	FBgn0038110	NA	NA	41601
NA	NA	FBgn0038105	NA	NA	41596
NA	NA	FBgn0041710	NA	NA	41595
NA	NA	FBgn0038098	NA	NA	41589
NA	NA	FBgn0040493	NA	NA	41587
NA	NA	FBgn0038122	NA	NA	41619
NA	NA	FBgn0038124	NA	NA	41621
NA	NA	FBgn0038125	NA	NA	41622
NA	NA	FBgn0040551	NA	NA	50024
NA	NA	FBgn0003598	NA	NA	41627
NA	NA	FBgn0038130	NA	NA	41629
NA	NA	FBgn0038135	NA	NA	41634
NA	NA	FBgn0038136	NA	NA	41635
NA	NA	FBgn0052473	NA	NA	41636
NA	NA	FBgn0027610	NA	NA	41640
NA	NA	FBgn0038142	NA	NA	41642
NA	NA	FBgn0038145	NA	NA	41646
NA	NA	FBgn0041711	NA	NA	41653
NA	NA	FBgn0038149	NA	NA	41650
NA	NA	FBgn0038147	NA	NA	41648
NA	NA	FBgn0038146	NA	NA	41647
NA	NA	FBgn0044511	NA	NA	318249
NA	NA	FBgn0038143	NA	NA	41644
NA	NA	FBgn0023495	NA	NA	41643
NA	NA	FBgn0038129	NA	NA	41628
NA	NA	FBgn0038128	NA	NA	41626
NA	NA	FBgn0000024	NA	NA	41625
NA	NA	FBgn0038127	NA	NA	41624
NA	NA	FBgn0038126	NA	NA	41623
NA	NA	FBgn0038123	NA	NA	41620
NA	NA	FBgn0000046	NA	NA	48632
NA	NA	FBgn0038158	NA	NA	41659
NA	NA	FBgn0040554	NA	NA	NA
NA	NA	FBgn0004049	NA	NA	41656
NA	NA	FBgn0038163	NA	NA	41665
NA	NA	FBgn0015778	NA	NA	47998
NA	NA	FBgn0038167	NA	NA	41673
NA	NA	FBgn0024555	NA	NA	41675
NA	NA	FBgn0002937	NA	NA	41678
NA	NA	FBgn0038173	NA	NA	41680
NA	NA	FBgn0038179	NA	NA	41686
NA	NA	FBgn0038180	NA	NA	41687
NA	NA	FBgn0038181	NA	NA	41688
NA	NA	FBgn0038183	NA	NA	41690
NA	NA	FBgn0000454	NA	NA	48450
NA	NA	FBgn0038172	NA	NA	41679
NA	NA	FBgn0028487	NA	NA	41677
NA	NA	FBgn0038168	NA	NA	41674
NA	NA	FBgn0038166	NA	NA	41672
NA	NA	FBgn0038165	NA	NA	41671
NA	NA	FBgn0004237	NA	NA	48535
NA	NA	FBgn0010258	NA	NA	41668
NA	NA	FBgn0003060	NA	NA	41662
NA	NA	FBgn0038160	NA	NA	41661
NA	NA	FBgn0000576	NA	NA	41697
NA	NA	FBgn0047199	NA	NA	251711
NA	NA	FBgn0016672	NA	NA	41701
NA	NA	FBgn0015270	NA	NA	41703
NA	NA	FBgn0038195	NA	NA	41707
NA	NA	FBgn0038196	NA	NA	41708
NA	NA	FBgn0038191	NA	NA	41702
NA	NA	FBgn0038190	NA	NA	41700
NA	NA	FBgn0038189	NA	NA	41699
NA	NA	FBgn0038186	NA	NA	41695
NA	NA	FBgn0051495	NA	NA	261626
NA	NA	FBgn0002862	NA	NA	41693
NA	NA	FBgn0038197	NA	NA	41709
NA	NA	FBgn0038198	NA	NA	41710
NA	NA	FBgn0038206	NA	NA	41719
NA	NA	FBgn0038210	NA	NA	41725
NA	NA	FBgn0027083	NA	NA	41733
NA	NA	FBgn0038214	NA	NA	41731
NA	NA	FBgn0038213	NA	NA	41730
NA	NA	FBgn0027563	NA	NA	41729
NA	NA	FBgn0053329	NA	NA	2768666
NA	NA	FBgn0053109	NA	NA	326258
NA	NA	FBgn0051326	NA	NA	41728
NA	NA	FBgn0038211	NA	NA	41727
NA	NA	FBgn0011582	NA	NA	41726
NA	NA	FBgn0051327	NA	NA	318684
NA	NA	FBgn0051533	NA	NA	318788
NA	NA	FBgn0038209	NA	NA	41724
NA	NA	FBgn0038208	NA	NA	41723
NA	NA	FBgn0038207	NA	NA	41722
NA	NA	FBgn0010340	NA	NA	41720
NA	NA	FBgn0020510	NA	NA	41718
NA	NA	FBgn0038202	NA	NA	41714
NA	NA	FBgn0038200	NA	NA	41712
NA	NA	FBgn0038199	NA	NA	41711
NA	NA	FBgn0038219	NA	NA	41736
NA	NA	FBgn0038220	NA	NA	NA
NA	NA	FBgn0004855	NA	NA	41741
NA	NA	FBgn0051321	NA	NA	318681
NA	NA	FBgn0013767	NA	NA	41742
NA	NA	FBgn0011474	NA	NA	41743
NA	NA	FBgn0038224	NA	NA	41745
NA	NA	FBgn0003480	NA	NA	41746
NA	NA	FBgn0038225	NA	NA	41748
NA	NA	FBgn0024321	NA	NA	41747
NA	NA	FBgn0038223	NA	NA	41744
NA	NA	FBgn0003567	NA	NA	41740
NA	NA	FBgn0038218	NA	NA	41735
NA	NA	FBgn0038217	NA	NA	41734
NA	NA	FBgn0038234	NA	NA	41757
NA	NA	FBgn0038239	NA	NA	41762
NA	NA	FBgn0038242	NA	NA	41765
NA	NA	FBgn0020299	NA	NA	41770
NA	NA	FBgn0038246	NA	NA	41771
NA	NA	FBgn0013981	NA	NA	41773
NA	NA	FBgn0038250	NA	NA	41777
NA	NA	FBgn0038251	NA	NA	41778
NA	NA	FBgn0038252	NA	NA	41780
NA	NA	FBgn0025808	NA	NA	41779
NA	NA	FBgn0038248	NA	NA	41775
NA	NA	FBgn0003169	NA	NA	41772
NA	NA	FBgn0038244	NA	NA	41768
NA	NA	FBgn0038243	NA	NA	41766
NA	NA	FBgn0051313	NA	NA	318677
NA	NA	FBgn0038241	NA	NA	41764
NA	NA	FBgn0038238	NA	NA	41761
NA	NA	FBgn0038237	NA	NA	41760
NA	NA	FBgn0038235	NA	NA	41758
NA	NA	FBgn0038233	NA	NA	41756
NA	NA	FBgn0038260	NA	NA	41789
NA	NA	FBgn0038268	NA	NA	41797
NA	NA	FBgn0067629	NA	NA	2768669
NA	NA	FBgn0038271	NA	NA	41800
NA	NA	FBgn0038275	NA	NA	41805
NA	NA	FBgn0038279	NA	NA	41809
NA	NA	FBgn0028662	NA	NA	45247
NA	NA	FBgn0038277	NA	NA	41807
NA	NA	FBgn0038272	NA	NA	41802
NA	NA	FBgn0004597	NA	NA	41801
NA	NA	FBgn0038269	NA	NA	41798
NA	NA	FBgn0011217	NA	NA	41785
NA	NA	FBgn0038256	NA	NA	41784
NA	NA	FBgn0038280	NA	NA	41810
NA	NA	FBgn0038281	NA	NA	41811
NA	NA	FBgn0038292	NA	NA	41822
NA	NA	FBgn0038296	NA	NA	41826
NA	NA	FBgn0038290	NA	NA	41820
NA	NA	FBgn0038286	NA	NA	41816
NA	NA	FBgn0038285	NA	NA	41815
NA	NA	FBgn0038300	NA	NA	41830
NA	NA	FBgn0038302	NA	NA	41832
NA	NA	FBgn0038304	NA	NA	41834
NA	NA	FBgn0038307	NA	NA	41838
