gene	both	hs	ctrl	sig	sigexon	signotexon	snptype
FBgn0054006	0	0	0	0	0	1	noexon
FBgn0261995	0	0	0	0	0	0	notsig
FBgn0261996	0	0	0	0	0	0	notsig
FBgn0051064	1	0	0	1	0	1	noexon
FBgn0051068	1	0	0	1	1	0	exon
FBgn0005696	0	0	0	0	0	0	notsig
FBgn0039498	0	0	0	0	0	0	notsig
FBgn0042111	0	0	0	0	0	0	notsig
FBgn0039500	0	0	0	0	0	0	notsig
FBgn0039501	0	0	0	0	0	0	notsig
FBgn0011289	0	0	0	0	0	0	notsig
FBgn0010441	0	0	0	0	0	0	notsig
FBgn0010328	0	0	0	0	0	0	notsig
FBgn0264841	0	0	0	0	0	0	notsig
FBgn0039504	0	0	0	0	0	0	notsig
FBgn0002441	0	0	0	0	0	0	notsig
FBgn0046247	0	0	0	0	0	0	notsig
FBgn0039507	0	0	0	0	0	0	notsig
FBgn0039508	0	0	0	0	0	0	notsig
FBgn0039509	1	0	0	1	1	0	exon
FBgn0015737	1	0	0	1	1	0	exon
FBgn0040609	0	0	0	0	0	0	notsig
FBgn0039510	1	1	0	1	1	1	both
FBgn0265314	0	0	0	0	0	0	notsig
FBgn0039511	0	0	0	0	0	1	noexon
FBgn0260487	0	1	0	1	1	0	exon
FBgn0285938	0	0	0	0	0	0	notsig
FBgn0263453	0	0	0	0	0	0	notsig
FBgn0016061	0	1	0	1	0	1	noexon
FBgn0267653	0	0	0	0	0	0	notsig
FBgn0265317	0	0	0	0	0	0	notsig
FBgn0263401	0	0	0	0	0	0	notsig
FBgn0039518	1	0	0	1	1	1	both
FBgn0039519	1	0	0	1	1	0	exon
FBgn0039520	0	0	0	0	0	0	notsig
FBgn0039521	0	0	0	0	0	0	notsig
FBgn0267755	0	0	0	0	0	0	notsig
FBgn0039522	0	0	0	0	0	0	notsig
FBgn0039523	0	0	0	0	0	0	notsig
FBgn0265316	0	0	0	0	0	0	notsig
FBgn0265315	0	0	0	0	0	0	notsig
FBgn0046887	0	0	0	0	0	0	notsig
FBgn0046886	0	0	0	0	0	0	notsig
FBgn0046885	0	0	0	0	0	0	notsig
FBgn0004387	1	0	0	1	1	0	exon
FBgn0039525	0	0	0	0	0	0	notsig
FBgn0027492	0	0	0	0	0	0	notsig
FBgn0040080	0	0	0	0	0	0	notsig
FBgn0039527	0	1	0	1	1	0	exon
FBgn0039528	1	0	0	1	1	1	both
FBgn0039530	0	1	0	1	0	1	noexon
FBgn0039529	0	0	0	0	0	0	notsig
FBgn0039531	0	0	0	0	0	0	notsig
FBgn0039532	0	0	0	0	0	0	notsig
FBgn0266579	1	1	1	1	1	1	both
FBgn0027494	1	0	0	1	1	0	exon
FBgn0002772	1	0	0	1	0	1	noexon
FBgn0039536	1	1	0	1	1	1	both
FBgn0039537	0	0	0	0	0	0	notsig
FBgn0039538	0	0	0	0	0	0	notsig
FBgn0003330	1	0	0	1	1	0	exon
FBgn0051055	1	0	0	1	1	0	exon
FBgn0046258	1	1	0	1	1	1	both
FBgn0263024	0	0	0	0	0	0	notsig
FBgn0263597	0	0	0	0	0	0	notsig
FBgn0263025	0	0	0	0	0	0	notsig
FBgn0086346	0	0	0	0	0	0	notsig
FBgn0045862	0	0	0	0	0	0	notsig
FBgn0039543	0	0	0	0	0	0	notsig
FBgn0039544	0	0	0	0	0	0	notsig
FBgn0005659	1	1	0	1	0	1	noexon
FBgn0085382	1	1	0	1	0	1	noexon
FBgn0039551	0	0	0	0	0	0	notsig
FBgn0039552	0	0	0	0	0	0	notsig
FBgn0267366	0	0	0	0	0	1	noexon
FBgn0039554	1	1	0	1	1	0	exon
FBgn0039555	0	0	0	0	0	0	notsig
FBgn0053213	0	0	0	0	0	0	notsig
FBgn0039557	0	0	0	0	0	0	notsig
FBgn0039558	0	0	0	0	0	0	notsig
FBgn0003279	0	0	0	0	0	0	notsig
FBgn0267126	0	0	0	0	0	0	notsig
