gene	both	hs	ctrl	sig	sigexon	signotexon	snptype
FBgn0283501	1	0	0	1	1	0	exon
FBgn0051010	0	0	0	0	0	1	noexon
FBgn0267939	0	0	0	0	0	0	notsig
FBgn0039797	1	0	0	1	1	0	exon
FBgn0039798	0	0	0	0	0	0	notsig
FBgn0039799	0	0	0	0	0	0	notsig
FBgn0039800	0	0	0	0	0	0	notsig
FBgn0039801	0	0	0	0	0	0	notsig
FBgn0262883	0	0	0	0	0	0	notsig
FBgn0004606	1	1	0	1	0	1	noexon
FBgn0266699	0	0	0	0	0	0	notsig
FBgn0011739	0	0	0	0	0	0	notsig
FBgn0039802	0	0	0	0	0	0	notsig
FBgn0027598	1	1	0	1	1	1	both
FBgn0039804	0	1	0	1	0	1	noexon
FBgn0003720	0	0	0	0	0	1	noexon
FBgn0039805	1	1	0	1	1	0	exon
FBgn0039806	0	1	0	1	0	1	noexon
FBgn0039807	0	1	0	1	1	0	exon
